"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"10:45:00 12/05/1980",NA,NA,NA,NA,NA,NA,94,65,NA,NA,10.4,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,65,10.8,65,NA,NA
"10:45:00 14/03/1978",NA,NA,NA,NA,NA,NA,78,65,NA,NA,9.3,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,16.5,65,NA,NA
"10:45:00 14/12/1978",NA,NA,NA,NA,NA,NA,70,65,NA,NA,11.4,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,65,12,65,NA,NA
"10:50:00 04/07/1984",NA,NA,NA,NA,NA,NA,93,65,NA,NA,11.6,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,5.8,65,NA,NA
"10:50:00 11/11/1983",NA,NA,NA,NA,NA,NA,67,65,NA,NA,11.1,65,8.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,8.2,65,NA,NA
"10:50:00 28/10/1983",NA,NA,NA,NA,NA,NA,62,65,NA,NA,10.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,9.8,65,NA,NA
"11:00:00 02/07/1979",NA,NA,NA,NA,NA,NA,61,65,NA,NA,11.6,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,7,65,NA,NA
"11:00:00 04/04/1984",NA,NA,NA,NA,NA,NA,67,65,NA,NA,11.3,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,7.1,65,NA,NA
"11:00:00 07/05/1981",NA,NA,NA,NA,NA,NA,74,65,NA,NA,10,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,65,9,65,NA,NA
"11:00:00 07/06/1988",NA,NA,NA,NA,NA,NA,56,65,NA,NA,10.8,65,5.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,65,9.5,65,NA,NA
"11:00:00 08/09/1987",NA,NA,NA,NA,NA,NA,61,65,NA,NA,11.2,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,65,7.5,65,NA,NA
"11:00:00 17/04/1978",NA,NA,NA,NA,NA,NA,79,65,NA,NA,9.5,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,65,12,65,NA,NA
"11:00:00 26/03/1979",NA,NA,NA,NA,NA,NA,74,65,NA,NA,10.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,11.3,65,NA,NA
"11:00:00 26/05/1977",NA,NA,NA,NA,NA,NA,76,65,NA,NA,8.3,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,65,7,65,NA,NA
"11:00:00 28/10/1982",NA,NA,NA,NA,NA,NA,77,65,NA,NA,9.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,12,65,NA,NA
"11:04:00 11/06/1980",NA,NA,NA,NA,NA,NA,73,65,NA,NA,11.4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,65,7.8,65,NA,NA
"11:04:00 28/03/1980",NA,NA,NA,NA,NA,NA,68,65,NA,NA,10.3,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,11.5,65,NA,NA
