"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"16:00:00 16/10/2017",NA,NA,NA,NA,NA,NA,NA,NA,16,1,47,1,NA,NA,NA,NA,NA,NA,9.8,1,6.7,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.2,1,0.006,1,2,1,2.7,1,14.5,1,NA,NA,NA,NA
"16:00:00 17/09/2013",NA,NA,NA,NA,NA,NA,NA,NA,35,1,48,1,NA,NA,NA,NA,NA,NA,11,1,7.1,1,0.003,1,0.17,1,NA,NA,NA,NA,NA,NA,0.17,1,0.011,1,3,1,4.6,1,11,1,NA,NA,NA,NA
"16:00:00 17/11/2020",NA,NA,NA,NA,NA,NA,NA,NA,12,1,45,1,NA,NA,NA,NA,NA,NA,10.02,1,7.03,1,0.003,1,0.13,1,NA,NA,NA,NA,NA,NA,0.21,1,0.016,1,7,1,5.4,1,15.1,1,NA,NA,NA,NA
"16:00:00 18/08/2014",NA,NA,NA,NA,NA,NA,NA,NA,25,1,53,1,NA,NA,NA,NA,NA,NA,11.6,1,6.6,1,0.003,1,0.21,1,NA,NA,NA,NA,NA,NA,0.21,1,0.018,1,3,1,5.1,1,9,1,NA,NA,NA,NA
"16:00:00 19/04/2017",NA,NA,NA,NA,NA,NA,NA,NA,10,1,46,1,NA,NA,NA,NA,NA,NA,9,1,6.8,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.12,1,0.007,1,3,1,5.4,1,16.5,1,NA,NA,NA,NA
"16:00:00 19/06/2012",NA,NA,NA,NA,NA,NA,NA,NA,32,1,53,1,NA,NA,NA,NA,NA,NA,11.8,1,6.8,1,0.003,1,0.16,1,NA,NA,NA,NA,NA,NA,0.23,1,0.015,1,4,1,6.8,1,8.5,1,NA,NA,NA,NA
"16:00:00 19/07/2011",NA,NA,NA,NA,NA,NA,NA,NA,25,1,58,1,NA,NA,NA,NA,NA,NA,11.6,1,6.9,1,0.003,1,0.14,1,NA,NA,NA,NA,NA,NA,0.21,1,0.005,1,4,1,4.4,1,8.5,1,NA,NA,NA,NA
"16:00:00 19/11/2014",NA,NA,0.001,1,2e-04,1,0.001,1,10,1,53,1,NA,NA,0.001,1,NA,NA,9.7,1,7,1,0.003,1,0.1,1,0.001,1,1e-04,1,0.001,1,0.15,1,0.005,1,2,1,4.5,1,17.5,1,0.002,1,NA,NA
"16:00:00 20/05/2015",NA,NA,NA,NA,NA,NA,NA,NA,14,1,50,1,NA,NA,NA,NA,NA,NA,10.1,1,6.7,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.16,1,0.012,1,2,1,3.4,1,11.5,1,NA,NA,NA,NA
"16:00:00 20/08/2013",NA,NA,NA,NA,NA,NA,NA,NA,20,1,66,1,NA,NA,NA,NA,NA,NA,12.3,1,7,1,0.003,1,0.14,1,NA,NA,NA,NA,NA,NA,0.22,1,0.011,1,4,1,3.3,1,8,1,NA,NA,NA,NA
"16:00:00 21/10/2013",NA,NA,NA,NA,NA,NA,NA,NA,16,1,47,1,NA,NA,NA,NA,NA,NA,11.2,1,6.8,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.18,1,0.005,1,2,1,2.9,1,13.5,1,NA,NA,NA,NA
"16:00:00 22/11/2016",NA,NA,NA,NA,NA,NA,NA,NA,16,1,43,1,NA,NA,NA,NA,NA,NA,10.3,1,6.8,1,0.004,1,0.14,1,NA,NA,NA,NA,NA,NA,0.19,1,0.009,1,5,1,5.6,1,16,1,NA,NA,NA,NA
"16:00:00 25/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,65,NA,NA,NA,NA,NA,NA,9.6,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,15,65,NA,NA,NA,NA
"16:05:00 15/06/2015",NA,NA,NA,NA,NA,NA,NA,NA,10,1,49,1,NA,NA,NA,NA,NA,NA,10.4,1,6.9,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.009,1,0.005,1,2,1,2.9,1,9.5,1,NA,NA,NA,NA
"16:05:00 16/06/2009",NA,NA,NA,NA,NA,NA,NA,NA,11,65,53,65,NA,NA,NA,NA,NA,NA,10.9,65,7,65,0.003,65,0.02,65,NA,NA,NA,NA,NA,NA,0.16,65,0.005,65,2,65,1.5,65,10.5,65,NA,NA,NA,NA
"16:10:00 10/09/2018",NA,NA,NA,NA,NA,NA,NA,NA,14,1,48,1,NA,NA,NA,NA,NA,NA,12,1,6.8,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.2,1,0.006,1,2,1,3.3,1,10,1,NA,NA,NA,NA
"16:10:00 16/05/2016",NA,NA,NA,NA,NA,NA,NA,NA,10,1,47,1,NA,NA,NA,NA,NA,NA,9.7,1,6.8,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.008,1,0.005,1,2,1,3.2,1,12.5,1,NA,NA,NA,NA
"16:10:00 17/06/2019",NA,NA,NA,NA,NA,NA,NA,NA,10,1,52,1,NA,NA,NA,NA,NA,NA,11.1,1,7.41,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.19,1,0.006,1,2,1,1.8,1,9.2,1,NA,NA,NA,NA
