"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"07:05:00 19/01/2006",NA,NA,NA,NA,NA,NA,25,65,65,65,NA,NA,NA,NA,8.1,65,7.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,0.007,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,2.5,65,NA,NA,NA,NA
"07:10:00 22/12/2005",NA,NA,NA,NA,NA,NA,19,65,42,65,NA,NA,NA,NA,11.5,65,6.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,0.004,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,6,65,1.9,65,NA,NA,NA,NA
"07:10:00 23/02/2006",NA,NA,NA,NA,NA,NA,25,65,94,65,NA,NA,NA,NA,7.4,65,7.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,3,65,3.4,65,22.2,65,NA,NA
"07:15:00 17/11/2005",NA,NA,NA,NA,NA,NA,18,65,33,65,NA,NA,NA,NA,10,65,6.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,0.004,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,1.7,65,NA,NA,NA,NA
"07:15:00 22/01/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,1,6.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1,NA,NA,NA,NA,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,1,14,1,0.619,1,420,1,NA,NA,NA,NA,7.01,1
"07:15:00 23/11/2006",NA,NA,NA,NA,NA,NA,16,65,62,65,NA,NA,NA,NA,7.5,65,6.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,1,65,1.8,65,20.4,65,NA,NA
"07:25:00 15/02/2007",NA,NA,NA,NA,NA,NA,350,65,258,65,NA,NA,NA,NA,1.1,65,6.7,65,0.006,65,NA,NA,NA,NA,NA,NA,51,65,NA,NA,NA,NA,0.68,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,4300,65,NA,NA,19,65,NA,NA
"07:25:00 23/03/2006",NA,NA,NA,NA,NA,NA,30,65,91,65,NA,NA,NA,NA,7.9,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,2,65,2.4,65,19.8,65,NA,NA
"07:26:00 25/01/2007",NA,NA,NA,NA,NA,NA,100,65,302,65,NA,NA,NA,NA,5.6,65,7.6,65,0.12,65,NA,NA,NA,NA,NA,NA,1.3,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,65,88,65,170,65,20.9,65,NA,NA
"07:30:00 04/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,1,NA,NA,NA,NA,NA,NA,6.76,1
"07:45:00 05/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,1,5.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1,10,1,0.043,1,62,1,NA,NA,NA,NA,7.06,1
"07:50:00 16/12/2004",NA,NA,NA,NA,NA,NA,25,65,37,65,NA,NA,NA,NA,9.8,65,7.5,65,0.03,65,NA,NA,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,6.9,65,14.8,65,NA,NA
"08:05:00 18/11/2003",NA,NA,NA,NA,NA,NA,18,65,42,65,NA,NA,NA,NA,9.3,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,0.008,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,1,65,NA,NA,15.3,65,NA,NA
"08:10:00 13/04/2006",NA,NA,NA,NA,NA,NA,20,65,86,65,NA,NA,NA,NA,9,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,4,65,2.6,65,14.8,65,NA,NA
"08:10:00 19/10/2006",NA,NA,NA,NA,NA,NA,12,65,NA,NA,NA,NA,NA,NA,8.8,65,6.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,2,65,2.3,65,17.1,65,NA,NA
"08:10:00 21/09/2006",NA,NA,NA,NA,NA,NA,20,65,41,65,NA,NA,NA,NA,9.8,65,7.4,65,0.005,65,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,1.3,65,12.3,65,NA,NA
"08:20:00 07/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,1,8.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,1,NA,NA,NA,NA,NA,NA,6.86,1
"08:20:00 18/05/2006",NA,NA,NA,NA,NA,NA,20,65,40,65,NA,NA,NA,NA,11.1,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,0.008,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,2,65,1.4,65,9.5,65,NA,NA
"08:20:00 20/07/2006",NA,NA,NA,NA,NA,NA,25,65,36,65,NA,NA,NA,NA,12.4,65,7.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,3,65,4.4,65,7.1,65,NA,NA
"08:30:00 02/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,1,7.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029,1,NA,NA,NA,NA,NA,NA,7.03,1
"08:41:00 24/08/2006",NA,NA,NA,NA,NA,NA,16,65,37,65,NA,NA,NA,NA,11,65,7.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,2,65,1.5,65,9,65,NA,NA
"08:45:00 28/02/1984",NA,NA,6.6,65,7,65,40,65,62,65,NA,NA,NA,NA,5.1,65,6.5,65,NA,NA,NA,NA,23,65,0.29,65,0.4,65,2.2,65,0.02,65,0.01,65,1.3,65,4.8,65,3.8,65,1,65,27,65,58,65,NA,NA,3,65,0.07,65,5,65,1.6,65,19,65,NA,NA
"08:50:00 22/01/2004",NA,NA,NA,NA,NA,NA,25,65,58,65,NA,NA,NA,NA,7.7,65,7.4,65,0.006,65,NA,NA,NA,NA,NA,NA,0.89,65,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,4,65,NA,NA,21.3,65,NA,NA
"08:50:00 22/06/2006",NA,NA,NA,NA,NA,NA,16,65,58,65,NA,NA,NA,NA,12.1,65,7.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,2.7,65,6.3,65,NA,NA
"08:55:00 11/11/1987",NA,NA,NA,NA,NA,NA,NA,NA,52,65,NA,NA,NA,NA,10.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,65,13,65,NA,NA
"08:55:00 18/12/2003",NA,NA,NA,NA,NA,NA,25,65,46,65,NA,NA,NA,NA,7.7,65,7.6,65,0.003,65,NA,NA,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,0.009,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,NA,NA,23.2,65,NA,NA
"08:58:00 09/01/2003",0.03,65,NA,NA,NA,NA,20,65,70,65,NA,NA,NA,NA,8.4,65,7.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.39,65,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,0.7,65,19,65,NA,NA
"09:00:00 04/11/1982",NA,NA,NA,NA,NA,NA,NA,NA,39,65,NA,NA,NA,NA,8.6,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,17,65,NA,NA
"09:00:00 06/03/2003",0.01,65,NA,NA,NA,NA,25,65,89,65,NA,NA,NA,NA,8.1,65,7.6,65,0.003,65,NA,NA,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,2,65,0.9,65,18.8,65,NA,NA
"09:00:00 13/02/1984",NA,NA,NA,NA,NA,NA,NA,NA,51,65,NA,NA,NA,NA,5.6,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,20,65,NA,NA
"09:00:00 15/11/1983",NA,NA,NA,NA,NA,NA,NA,NA,40,65,NA,NA,NA,NA,8.4,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,17,65,NA,NA
"09:00:00 19/02/2004",NA,NA,NA,NA,NA,NA,25,65,80,65,NA,NA,NA,NA,6.2,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,24,65,17,65,21.4,65,NA,NA
"09:00:00 20/01/2005",NA,NA,NA,NA,NA,NA,17,65,54,65,NA,NA,NA,NA,7.8,65,6.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,1,65,2.2,65,22,65,NA,NA
"09:00:00 24/02/2005",NA,NA,NA,NA,NA,NA,16,65,50,65,NA,NA,NA,NA,7.2,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,0.008,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,2.3,65,21.6,65,NA,NA
"09:00:00 24/03/2005",NA,NA,NA,NA,NA,NA,10,65,62,65,NA,NA,NA,NA,8.8,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,0.006,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,5,65,NA,NA,15.7,65,NA,NA
"09:00:00 25/11/2004",NA,NA,NA,NA,NA,NA,18,65,37,65,NA,NA,NA,NA,9.1,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,0.009,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,2,65,2.5,65,17.6,65,NA,NA
"09:05:00 06/12/1983",NA,NA,NA,NA,NA,NA,NA,NA,34,65,NA,NA,NA,NA,8.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,17,65,NA,NA
"09:08:00 04/02/2003",0.02,65,NA,NA,NA,NA,25,65,99,65,NA,NA,NA,NA,7.6,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,0.66,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,1.9,65,20.4,65,NA,NA
"09:15:00 16/01/2013",NA,NA,NA,NA,NA,NA,18,1,87,1,NA,NA,NA,NA,7.6,1,7.4,1,0.003,1,NA,NA,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,1,4,1,3.9,1,21.8,1,NA,NA
"09:15:00 23/03/2004",NA,NA,NA,NA,NA,NA,18,65,100,65,NA,NA,NA,NA,7.8,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,2,65,1.3,65,17.4,65,NA,NA
"09:20:00 20/11/1985",NA,NA,2.3,65,2,65,10,65,35,65,NA,NA,NA,NA,9.4,65,NA,180,NA,NA,NA,NA,12,65,0.27,65,0.5,65,1.1,65,0.01,65,0.01,65,0.3,65,6.4,65,2.7,65,0.6,65,15,65,38,65,NA,NA,3,65,0.008,65,2,65,3.6,65,14.5,65,NA,NA
"09:20:00 23/10/2003",NA,NA,NA,NA,NA,NA,30,65,31,65,NA,NA,NA,NA,12.3,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,4,65,NA,NA,9.8,65,NA,NA
"09:30:00 05/12/1995",NA,NA,NA,NA,NA,NA,20,65,61,65,NA,NA,NA,NA,10.2,65,6.6,65,0.004,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,2.3,65,14,65,NA,NA
"09:30:00 05/12/2002",0.002,65,NA,NA,NA,NA,20,65,54,65,NA,NA,NA,NA,9.5,65,7.5,65,0.004,65,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,3,65,1.5,65,17.7,65,NA,NA
"09:30:00 07/03/2013",NA,NA,NA,NA,NA,NA,20,1,81,1,NA,NA,NA,NA,7.6,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,0.006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,1,4,1,3.8,1,22,1,NA,NA
"09:30:00 12/02/1991",NA,NA,NA,NA,NA,NA,25,65,86,65,NA,NA,NA,NA,7.6,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.006,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,2,65,1.7,65,22,65,NA,NA
"09:30:00 22/05/2003",0.002,65,NA,NA,NA,NA,25,65,29,65,NA,NA,NA,NA,10.1,65,7.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,8,65,NA,NA,10.4,65,NA,NA
"09:35:00 07/01/1992",NA,NA,NA,NA,NA,NA,15,65,44,65,NA,NA,NA,NA,9.2,65,6.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,1,65,1.1,65,18,65,NA,NA
"09:40:00 04/03/1987",NA,NA,NA,NA,NA,NA,NA,NA,53,65,NA,NA,NA,NA,NA,180,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,17,65,NA,NA
"09:40:00 06/02/1978",NA,NA,NA,NA,NA,NA,NA,NA,100,65,NA,NA,NA,NA,9.6,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,65,18.5,65,NA,NA
"09:40:00 08/06/1993",NA,NA,NA,NA,NA,NA,5,65,40,65,NA,NA,NA,NA,10.8,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,5,65,3.2,65,8,65,NA,NA
"09:40:00 10/05/1984",NA,NA,4.1,65,2.4,65,10,65,47,65,NA,NA,NA,NA,NA,180,7,65,NA,NA,NA,NA,16,65,0.09,65,0.2,65,1.6,65,0.01,65,0.01,65,0.5,65,4.8,65,2.5,65,1,65,19,65,32,65,NA,NA,1,65,0.003,65,1,65,1.5,65,8.5,65,NA,NA
"09:40:00 13/03/1984",NA,NA,NA,NA,NA,NA,NA,NA,61,65,NA,NA,NA,NA,6.9,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,18,65,NA,NA
"09:40:00 13/06/1984",NA,NA,NA,NA,NA,NA,NA,NA,37,65,NA,NA,NA,NA,11.6,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,5,65,NA,NA
"09:40:00 18/09/2003",NA,NA,NA,NA,NA,NA,40,65,30,65,NA,NA,NA,NA,11.2,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,10,65,NA,NA,9.6,65,NA,NA
"09:40:00 21/08/2003",NA,NA,NA,NA,NA,NA,25,65,30,65,NA,NA,NA,NA,12.6,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,NA,NA,4.8,65,NA,NA
"09:40:00 22/09/2005",NA,NA,NA,NA,NA,NA,14,65,29,65,NA,NA,NA,NA,11.7,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,2,65,3.1,65,NA,NA,NA,NA
"09:40:00 23/09/2004",NA,NA,NA,NA,NA,NA,20,65,27,65,NA,NA,NA,NA,11.1,65,6.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,1,65,2.4,65,10.8,65,NA,NA
"09:45:00 05/10/1983",NA,NA,NA,NA,NA,NA,NA,NA,41,65,NA,NA,NA,NA,10.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,10,65,NA,NA
"09:45:00 12/01/1988",NA,NA,NA,NA,NA,NA,NA,NA,58,65,NA,NA,NA,NA,8.8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,27,65,NA,NA
"09:45:00 16/11/1989",NA,NA,2.7,65,3,65,5,65,41,65,NA,NA,NA,NA,9.6,65,6.9,65,NA,NA,NA,NA,12,65,0.05,65,0.4,65,1.3,65,0.01,65,0.01,65,0.5,65,6.6,65,2.6,65,0.7,65,15,65,29,65,NA,NA,NA,NA,0.01,65,2,65,4.7,65,16,65,NA,NA
"09:45:00 18/08/2005",NA,NA,NA,NA,NA,NA,15,65,30,65,NA,NA,NA,NA,12.9,65,7.3,65,0.005,65,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,2,65,2.3,65,NA,NA,NA,NA
"09:45:00 20/10/2005",NA,NA,NA,NA,NA,NA,12,65,37,65,NA,NA,NA,NA,10.7,65,7.6,65,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,2,65,2,65,NA,NA,NA,NA
"09:45:00 26/04/1984",NA,NA,NA,NA,NA,NA,NA,NA,41,65,NA,NA,NA,NA,10,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,11,65,NA,NA
"09:50:00 10/04/2003",0.01,65,NA,NA,NA,NA,12,65,98,65,NA,NA,NA,NA,6.9,65,7.8,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,0.6,65,14.3,65,NA,NA
"09:50:00 13/02/1985",NA,NA,NA,NA,NA,NA,NA,NA,98,65,NA,NA,NA,NA,7.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,65,20.5,65,NA,NA
"09:50:00 16/04/1984",NA,NA,NA,NA,NA,NA,NA,NA,59,65,NA,NA,NA,NA,8.5,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,13,65,NA,NA
"09:50:00 19/06/2003",0.008,65,NA,NA,NA,NA,16,65,26,65,NA,NA,NA,NA,11.4,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,4,65,NA,NA,6.1,65,NA,NA
"09:50:00 26/05/2005",NA,NA,NA,NA,NA,NA,10,65,73,65,NA,NA,NA,NA,9.9,65,7.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,2,65,1.5,65,NA,NA,NA,NA
"09:55:00 05/02/1986",NA,NA,5,65,3,65,10,65,62,65,NA,NA,NA,NA,8.3,65,NA,180,NA,NA,NA,NA,20,65,0.23,65,0.15,65,2,65,0.01,65,0.004,65,0.5,65,5.6,65,3.2,65,1.4,65,26,65,42,65,NA,NA,1,65,0.01,65,2,65,2.1,65,20,65,NA,NA
"09:55:00 17/07/2003",0.002,65,NA,NA,NA,NA,18,65,29,65,NA,NA,NA,NA,11.8,65,7.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,2,65,NA,NA,6.9,65,NA,NA
