"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"13:00:00 08/02/1988",NA,NA,NA,NA,NA,NA,78,65,9.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,17,65
"13:00:00 12/03/1986",NA,NA,NA,NA,NA,NA,86,65,8.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,16,65
"13:05:00 04/11/1982",NA,NA,NA,NA,NA,NA,45,65,NA,180,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,18.5,65
"13:06:00 03/01/1989",NA,NA,NA,NA,NA,NA,74,65,8.4,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,21,65
"13:10:00 03/01/1979",2.2,65,8,65,30,65,53,65,9.2,65,7.4,65,13,65,0.74,65,NA,NA,1.6,65,0.02,65,0.01,65,0.7,65,8.6,65,4.5,65,1,65,15,65,33,65,NA,NA,0.01,65,1,65,2.2,65,21,65
"13:10:00 17/11/1987",3.8,65,7,65,20,65,91,65,9.4,65,6.8,65,22,65,0.24,65,0.1,65,3,65,0.02,65,0.05,65,1,65,7.4,65,6.4,65,7,65,25,65,47,65,3,65,0.12,65,4,65,2.3,65,17,65
"13:15:00 01/10/1980",1.9,65,6.4,65,40,65,15,65,9.8,65,7.5,65,13,65,1.27,65,0.25,65,1.6,65,0.02,65,0.04,65,0.8,65,7.6,65,3,65,2,65,12,65,38,65,2,65,0.03,65,13,65,20,65,15,65
"13:15:00 03/12/1979",NA,NA,NA,NA,NA,NA,65,65,9.2,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,20.5,65
"13:15:00 06/01/1987",NA,NA,NA,NA,NA,NA,84,65,9.2,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,18,65
"13:15:00 12/08/1986",3,65,7,65,20,65,75,65,12.1,65,6.5,65,19,65,0.42,65,0.2,65,2.8,65,0.01,65,0.05,65,0.7,65,8,65,6.1,65,5.7,65,17,65,41,65,2,65,0.04,65,8,65,3,65,6.5,65
"13:20:00 02/04/1990",NA,NA,NA,NA,NA,NA,69,65,8.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,17,65
"13:20:00 03/01/1984",NA,NA,NA,NA,NA,NA,100,65,8.5,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,19,65
"13:20:00 03/11/1980",NA,NA,NA,NA,NA,NA,58,65,10.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,65,11.5,65
"13:24:00 08/11/1989",3.3,65,8,65,25,65,83,65,11,65,6.6,65,18,65,0.26,65,0.2,65,2.9,65,0.01,65,0.05,65,1.4,65,8.3,65,6.7,65,4.1,65,19,65,49,65,3,65,0.06,65,2,65,5,65,13.2,65
