"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"10:10:00 26/07/2011",NA,NA,30,1,129,1,NA,NA,NA,NA,9.9,1,7.3,1,0.003,1,0.17,1,0.21,1,0.01,1,2,1,8.3,1,8.8,1,NA,NA
"10:10:00 27/09/2012",NA,NA,10,1,70,1,NA,NA,NA,NA,9.2,1,7.6,1,0.003,1,0.11,1,0.003,1,0.011,1,3,1,2.2,1,17.2,1,NA,NA
"10:15:00 01/09/1975",NA,NA,NA,NA,71,65,NA,NA,NA,NA,10,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,9.5,65,NA,NA
"10:15:00 02/02/1976",NA,NA,NA,NA,110,65,NA,NA,NA,NA,4.6,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,21,65,NA,NA
"10:15:00 04/09/1978",NA,NA,NA,NA,69,65,NA,NA,NA,NA,11.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,10.5,65,NA,NA
"10:15:00 11/06/1986",NA,NA,NA,NA,120,65,NA,NA,NA,NA,11.4,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,8,65,NA,NA
"10:20:00 11/07/1986",NA,NA,NA,NA,97,65,NA,NA,NA,NA,12.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,6.5,65,NA,NA
"10:20:00 11/12/1984",NA,NA,NA,NA,76,65,NA,NA,NA,NA,8.2,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,18.5,65,NA,NA
"10:25:00 04/02/1988",NA,NA,NA,NA,110,65,NA,NA,NA,NA,8,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,22.5,65,NA,NA
"10:30:00 03/11/1983",NA,NA,NA,NA,76,65,NA,NA,NA,NA,8.6,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,18,65,NA,NA
"10:30:00 04/12/2007",NA,NA,20,65,89,65,NA,NA,NA,NA,8,65,6.8,65,0.003,65,0.07,65,0.01,65,0.005,65,2,65,1.9,65,21.8,65,NA,NA
"10:30:00 05/03/1986",NA,NA,NA,NA,110,65,NA,NA,NA,NA,8.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,22,65,NA,NA
"10:30:00 10/09/2009",NA,NA,8,1,89.1,1,NA,NA,NA,NA,10.7,1,7.3,1,0.001,1,0.09,1,0.002,1,0.005,1,2,1,3.1,1,12.6,1,NA,NA
"10:30:00 13/08/2008",NA,NA,NA,NA,66,65,NA,NA,NA,NA,10.1,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,9,65,NA,NA
"10:30:00 25/06/2009",NA,NA,4,65,72,65,NA,NA,NA,NA,9.1,65,7.5,65,0.003,65,0.07,65,0.007,65,0.007,65,2,65,0.7,65,8.5,65,NA,NA
"10:30:00 25/08/2011",NA,NA,14,1,88,1,NA,NA,NA,NA,10.6,1,7.4,1,0.003,1,0.12,1,0.12,1,0.01,1,2,1,2,1,8.7,1,NA,NA
"10:45:00 05/01/1976",NA,NA,NA,NA,93,65,NA,NA,NA,NA,NA,180,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,23,65,NA,NA
"10:45:00 21/09/1989",NA,NA,NA,NA,59,65,NA,NA,NA,NA,10.7,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,12.5,65,NA,NA
"10:45:00 24/01/2006",NA,NA,20,65,16,65,NA,NA,NA,NA,7.7,65,7,65,0.003,65,0.15,65,0.02,65,0.006,65,1,65,2.1,65,NA,NA,NA,NA
"10:45:00 26/06/2007",NA,NA,45,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,0.39,65,0.99,65,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA
"10:45:00 29/07/1975",NA,NA,NA,NA,92,65,NA,NA,NA,NA,10,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,10,65,NA,NA
"10:47:00 11/05/2006",NA,NA,17,65,79,65,NA,NA,NA,NA,11.2,65,7.2,65,0.003,65,0.1,65,0.01,65,0.01,65,2,65,1.4,65,11.3,65,NA,NA
"10:50:00 02/07/1984",NA,NA,NA,NA,72,65,NA,NA,NA,NA,NA,180,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,65,7.5,65,NA,NA
