"Date","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"11:30:00 07/04/1997",NA,NA,NA,NA,NA,NA,18,65,100,65,NA,NA,10.4,65,7.1,65,0.004,65,0.27,65,NA,NA,NA,NA,NA,NA,0.04,65,0.007,65,2,65,1.5,65,12.5,65,NA,NA
"11:30:00 10/07/1995",NA,NA,NA,NA,NA,NA,23,65,150,65,NA,NA,12.6,65,7,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.03,65,0.007,65,2,65,3.2,65,4.9,65,NA,NA
"11:45:00 05/08/1991",NA,NA,NA,NA,NA,NA,15,65,67,65,NA,NA,11.2,65,6.7,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.02,65,0.005,65,1,65,2.5,65,7.5,65,NA,NA
"12:00:00 18/10/2016",NA,NA,NA,NA,NA,NA,12,1,57,1,NA,NA,10.4,1,6.9,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,3,1,3,1,13,1,NA,NA
"12:15:00 20/11/2012",NA,NA,NA,NA,NA,NA,10,1,68,1,NA,NA,9.4,1,7.2,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,2.2,1,18.5,1,NA,NA
"12:15:00 22/10/2018",NA,NA,NA,NA,NA,NA,10,1,63,1,NA,NA,9.8,1,7.6,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.005,1,0.005,1,2,1,1.9,1,15.8,1,NA,NA
"12:30:00 13/11/2007",NA,NA,NA,NA,NA,NA,NA,NA,67,65,NA,NA,10,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,65,17,65,NA,NA
"12:30:00 25/11/2013",NA,NA,NA,NA,NA,NA,20,1,74,1,NA,NA,10.2,1,7.4,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.17,1,0.013,1,10,1,19.8,1,14.5,1,NA,NA
"12:35:00 18/01/2010",NA,NA,NA,NA,NA,NA,15,1,76.6,1,NA,NA,8.8,1,7,1,0.004,1,0.06,1,NA,NA,NA,NA,NA,NA,0.01,1,0.005,1,2,1,1.8,1,20.5,1,NA,NA
"12:35:00 18/02/2019",NA,NA,NA,NA,NA,NA,6,1,98,1,NA,NA,8.01,1,7.25,1,0.003,1,0.14,1,NA,NA,NA,NA,NA,NA,0.013,1,0.005,1,2,1,0.8,1,21.2,1,NA,NA
