"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"11:20:00 27/05/1997",NA,NA,NA,NA,220,1,5.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062,1,NA,NA,NA,NA,NA,NA,7,1
"11:25:00 08/10/1997",NA,NA,NA,NA,373,1,6.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111,1,NA,NA,NA,NA,NA,NA,7.49,1
"11:25:00 22/09/1998",NA,NA,NA,NA,54,1,10.45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,0.064,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:27:00 30/08/1999",NA,NA,NA,NA,139,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,1,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:30:00 05/06/1997",NA,NA,NA,NA,221,1,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,1,NA,NA,NA,NA,NA,NA,7.26,1
"11:30:00 14/08/2012",40,1,62,1,NA,NA,NA,NA,10.4,1,7.3,1,0.003,1,0.29,1,0.16,1,NA,NA,0.046,1,22,1,43.4,1,9.8,1,NA,NA
"11:30:00 16/07/1997",NA,NA,NA,NA,286,1,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098,1,NA,NA,NA,NA,NA,NA,7.58,1
"11:30:00 23/04/1997",NA,NA,NA,NA,167,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1,NA,NA,NA,NA,NA,NA,7.27,1
"11:30:00 23/06/1998",NA,NA,NA,NA,345,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:30:00 23/07/1997",NA,NA,NA,NA,267,1,8.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121,1,NA,NA,NA,NA,NA,NA,7.07,1
"11:40:00 05/08/1997",NA,NA,NA,NA,292,1,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,1,NA,NA,NA,NA,NA,NA,7.75,1
