"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"08:15:00 23/01/1997",NA,NA,1,65,11,65,80,65,68,65,59,65,NA,NA,9.7,65,6.1,65,0.003,65,NA,NA,NA,NA,0.31,65,0.8,65,NA,NA,0.36,65,1.5,65,NA,NA,7.8,65,1.1,65,8,65,NA,NA,NA,NA,0.03,65,17,65,5.8,65,14.2,65,6.7,65
"08:15:00 27/02/1997",NA,NA,1.3,65,12,65,55,65,68,65,62,65,NA,NA,10.2,65,6.6,65,0.003,65,NA,NA,NA,NA,0.31,65,1,65,NA,NA,0.34,65,1.7,65,NA,NA,8.8,65,1.3,65,8,65,NA,NA,NA,NA,0.01,65,14,65,4.2,65,13.6,65,7,65
"08:17:00 10/06/2008",NA,NA,NA,NA,NA,NA,50,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,6,65,NA,NA,NA,NA,NA,NA
"08:17:00 11/06/2008",NA,NA,NA,NA,NA,NA,NA,NA,67,65,NA,NA,NA,NA,10.2,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,65,9.6,65,NA,NA
"08:20:00 03/02/2009",NA,NA,NA,NA,NA,NA,60,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,NA,NA,NA,NA,NA,NA
"08:20:00 05/08/2010",NA,NA,NA,NA,NA,NA,70,1,64,1,NA,NA,NA,NA,10.9,1,6.8,1,0.003,1,NA,NA,NA,NA,0.28,1,NA,NA,NA,NA,0.38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,1,8,1,6.6,1,7.7,1,NA,NA
"08:20:00 10/01/2008",NA,NA,NA,NA,NA,NA,NA,NA,62,65,NA,NA,NA,NA,9,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,15.4,65,NA,NA
"08:20:00 12/12/1984",NA,NA,NA,NA,NA,NA,NA,NA,76,65,NA,NA,NA,NA,9.4,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,9.5,65,NA,NA
"08:20:00 14/11/1996",NA,NA,0.9,65,11,65,50,65,83,65,56,65,NA,NA,10.6,65,7,65,0.003,65,NA,NA,NA,NA,0.23,65,0.8,65,NA,NA,0.35,65,1.5,65,NA,NA,6.9,65,1.2,65,6,65,NA,NA,NA,NA,0.01,65,14,65,4.6,65,11.6,65,6.6,65
"08:20:00 25/03/1999",NA,NA,1.1,65,11,65,57,65,61,65,59,65,NA,NA,9.8,65,6.9,65,0.003,65,NA,NA,NA,NA,0.27,65,0.8,65,NA,NA,0.31,65,1.8,65,NA,NA,7.3,65,1,65,8,65,NA,NA,NA,NA,0.01,65,4,65,2.1,65,15.1,65,7,65
"08:22:00 15/05/1991",NA,NA,NA,NA,NA,NA,NA,NA,62,65,NA,NA,NA,NA,11,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,65,9.5,65,NA,NA
"08:30:00 01/12/1982",NA,NA,NA,NA,NA,NA,NA,NA,37,65,NA,NA,NA,NA,8.5,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,65,14,65,NA,NA
"08:30:00 04/02/2010",NA,NA,NA,NA,NA,NA,53,1,63.6,1,NA,NA,NA,NA,9.2,1,6.4,1,0.006,1,NA,NA,NA,NA,0.29,1,NA,NA,NA,NA,0.203,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,1,1,1,3.2,1,16.3,1,NA,NA
"08:30:00 08/12/2008",NA,NA,NA,NA,NA,NA,52,65,59,65,NA,NA,NA,NA,10.1,65,6.4,65,0.003,65,NA,NA,NA,NA,0.21,65,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,4,65,5.9,65,10.9,65,NA,NA
"08:30:00 17/12/2001",NA,NA,1,65,10,65,55,65,58,65,59,65,NA,NA,10,65,6.7,65,0.02,65,NA,NA,NA,NA,0.22,65,0.8,65,NA,NA,0.3,65,1.5,65,NA,NA,7.4,65,1,65,9,65,NA,NA,NA,NA,0.03,65,8,65,3.2,65,11.2,65,7.2,65
"08:35:00 12/12/1996",NA,NA,0.9,65,11,65,45,65,68,65,61,65,NA,NA,11.8,65,6.6,65,0.003,65,NA,NA,NA,NA,0.15,65,0.8,65,NA,NA,0.36,65,1.4,65,NA,NA,7.4,65,0.3,65,7,65,NA,NA,NA,NA,0.02,65,17,65,4.2,65,11,65,7,65
