"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"13:45:00 14/02/2007",NA,NA,0.001,65,2e-04,65,0.001,65,10,65,527,65,0.001,65,9.5,65,7.8,65,0.003,65,0.27,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.01,65,3,65,NA,NA,28.1,65,0.004,65,NA,NA
"13:45:00 16/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,15,65,97,65,NA,NA,8.6,65,7.5,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.003,65,0.03,65,10,65,6.5,65,23,65,NA,NA,NA,NA
"13:45:00 17/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,15,65,470,65,NA,NA,7.8,65,7.6,65,0.003,65,0.18,65,NA,NA,NA,NA,NA,NA,0.003,65,0.03,65,8,65,4.3,65,26.5,65,NA,NA,NA,NA
"13:45:00 23/04/1996",NA,NA,NA,NA,NA,NA,NA,NA,19,65,150,65,NA,NA,11.1,65,7,65,0.004,65,0.13,65,NA,NA,NA,NA,NA,NA,0.12,65,0.02,65,4,65,4.2,65,15.5,65,NA,NA,NA,NA
"13:46:00 24/11/2016",NA,NA,0.001,1,2e-04,1,0.001,1,32,1,168.6,1,0.003,1,8.3,1,6.9,1,0.004,1,0.38,1,0.001,1,1e-04,1,0.002,1,0.087,1,0.023,1,NA,NA,12.4,1,18.2,1,0.016,1,NA,NA
"13:50:00 06/03/2008",NA,NA,0.001,65,2e-04,65,0.001,65,25,65,250,65,0.001,65,8.9,65,6.8,65,0.003,65,0.22,65,0.001,65,1e-04,65,0.001,65,0.09,65,0.01,65,8,65,5.2,65,23.8,65,0.003,65,NA,NA
"13:50:00 18/11/2008",NA,NA,0.001,65,2e-04,65,0.002,65,11,65,285,65,0.001,65,7.9,65,7.4,65,0.003,65,0.24,65,0.001,65,1e-04,65,0.001,65,0.007,65,0.01,65,6,65,6.6,65,22.2,65,0.008,65,NA,NA
"13:50:00 29/06/2000",NA,NA,NA,NA,NA,NA,NA,NA,11,65,240,65,NA,NA,10.8,65,7.1,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.05,65,0.01,65,6,65,3.7,65,9.8,65,NA,NA,NA,NA
"13:50:00 30/10/2001",NA,NA,NA,NA,NA,NA,NA,NA,25,65,150,65,NA,NA,9.4,65,7.2,65,0.004,65,0.15,65,NA,NA,NA,NA,NA,NA,0.01,65,0.01,65,6,65,4.8,65,18,65,NA,NA,NA,NA
"13:55:00 22/11/2007",NA,NA,0.001,65,2e-04,65,0.001,65,35,65,158,65,0.001,65,7.8,65,6.8,65,0.003,65,0.26,65,0.001,65,1e-04,65,0.002,65,0.18,65,0.01,65,3,65,7,65,20.4,65,0.01,65,NA,NA
"13:57:00 10/06/2015",NA,NA,0.001,1,2e-04,1,0.001,1,14,1,132,1,0.001,1,9.6,1,6.9,1,0.003,1,0.14,1,0.001,1,1e-04,1,0.001,1,0.26,1,0.008,1,4,1,6.5,1,10,1,0.009,1,NA,NA
"14:00:00 03/04/2014",NA,NA,0.001,1,2e-04,1,0.001,1,8,1,407,1,0.001,1,8,1,7.6,1,0.003,1,0.21,1,0.001,1,1e-04,1,0.001,1,0.006,1,0.037,1,6,1,4.8,1,19.7,1,0.002,1,NA,NA
"14:00:00 03/08/1995",NA,NA,NA,NA,NA,NA,NA,NA,16,65,250,65,NA,NA,11.4,65,6.9,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.14,65,0.01,65,5,65,2.7,65,10.5,65,NA,NA,NA,NA
"14:00:00 03/12/2014",NA,NA,0.001,1,2e-04,1,0.001,1,14,1,226,1,0.001,1,7.9,1,7.3,1,0.003,1,0.24,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.018,1,4,1,5.3,1,21.3,1,0.003,1,NA,NA
"14:00:00 09/06/1993",NA,NA,NA,NA,NA,NA,NA,NA,10,65,280,65,NA,NA,10.8,65,6.9,65,0.003,65,0.3,65,NA,NA,NA,NA,NA,NA,0.4,65,0.01,65,3,65,5.7,65,12,65,NA,NA,NA,NA
"14:00:00 10/07/1996",NA,NA,NA,NA,NA,NA,NA,NA,8,65,240,65,NA,NA,11.8,65,7.4,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.35,65,0.006,65,2,65,3.4,65,9,65,NA,NA,NA,NA
