"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"13:45:00 08/04/2015",NA,180,82,1,10.4,1,7,1,0.003,1,0.21,1,0.024,1,NA,NA,0.01,1,2,1,5,1,15.5,1
"13:45:00 09/01/2008",70,65,NA,NA,NA,NA,NA,NA,0.003,65,0.2,65,0.02,65,NA,NA,0.02,65,3,65,NA,NA,NA,NA
"13:50:00 02/06/2015",40,1,79,1,12.2,1,6.7,1,0.003,1,0.2,1,0.068,1,NA,NA,0.018,1,2,1,5.9,1,9,1
"13:50:00 03/10/2012",65,1,90,1,8.6,1,7.4,1,0.003,1,0.24,1,0.2,1,NA,NA,0.012,1,6,1,14.1,1,14.5,1
"13:50:00 05/11/2008",32,65,70,65,11.1,65,7.1,65,0.003,65,0.26,65,0.006,65,NA,NA,0.01,65,2,65,3.1,65,17.5,65
"13:50:00 07/07/2015",40,1,91,1,10.9,1,6.8,1,0.003,1,0.13,1,0.095,1,NA,NA,0.012,1,4,1,11.8,1,9,1
"13:50:00 07/10/2008",30,65,105,65,11.2,65,6.9,65,0.003,65,0.24,65,0.01,65,NA,NA,0.01,65,2,65,5.3,65,12.5,65
"13:50:00 15/12/2009",30,1,82.1,1,8,1,6.8,1,0.007,1,0.29,1,0.003,1,NA,NA,0.01,1,4,1,4.8,1,20.5,1
"14:00:00 04/02/2015",50,1,78,1,8.6,1,7,1,0.003,1,0.27,1,0.034,1,NA,NA,0.007,1,2,1,6,1,20,1
"14:00:00 04/04/2012",50,1,87,1,9.1,1,6.9,1,0.003,1,0.27,1,0.081,1,NA,NA,0.014,1,8,1,9.1,1,18,1
"14:00:00 05/08/2014",55,1,51,1,12.5,1,6.7,1,0.003,1,0.22,1,0.16,1,NA,NA,0.018,1,4,1,13.6,1,8.5,1
"14:00:00 08/01/2020",NA,NA,62,1,8.8,1,6.67,1,0.003,1,0.24,1,0.02,1,0.26,1,0.009,1,NA,NA,3.1,1,20.5,1
"14:00:00 08/09/2010",40,1,65,1,10.8,1,7.1,1,0.003,1,0.22,1,0.068,1,NA,NA,0.011,1,3,1,16.1,1,10.5,1
"14:00:00 09/06/2016",NA,NA,91,1,10.4,1,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1,11,1
"14:00:00 17/06/2010",63,1,140,1,11,1,7,1,0.006,1,0.44,1,0.128,1,NA,NA,0.008,1,3,1,10,1,9,1
"14:00:00 24/10/2006",30,65,NA,NA,9.1,65,6.4,65,0.003,65,0.12,65,0.01,65,NA,NA,0.01,65,2,65,3,65,18.4,65
"14:04:00 28/04/2008",25,65,69,65,10.2,65,7.5,65,0.003,65,0.36,65,0.01,65,NA,NA,0.005,65,2,65,4.9,65,11.9,65
"14:10:00 04/03/2015",45,1,81,1,9.6,1,6.8,1,0.003,1,0.2,1,0.03,1,NA,NA,0.014,1,6,1,5.6,1,20.5,1
"14:10:00 07/10/2015",40,1,68,1,10.8,1,6.7,1,0.003,1,0.19,1,0.1,1,NA,NA,0.012,1,3,1,6.6,1,17,1
"14:10:00 08/06/2017",NA,NA,85,1,11.4,1,6.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,8.5,1
"14:15:00 05/05/2020",NA,NA,65,1,10.57,1,7.06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1,13.4,1
"14:15:00 05/08/2009",30,1,77.1,1,10.9,1,7.7,1,0.004,1,0.11,1,0.039,1,NA,NA,0.005,1,1,1,3.9,1,9.3,1
"14:15:00 13/01/2010",35,1,70,1,6.3,1,6.8,1,0.001,1,0.28,1,0.002,1,NA,NA,0.01,1,5,1,5,1,23.5,1
